Outlines of the full ICESat-based drainage
systems generated by the Ice Altimetry
group at Goddard Space Flight Center, based
on ICESat campaigns L2a-c, L3a-c
(2003 Feb - 2005 May).
Each record: drainage subsystem, lat (deg N), lon (deg E)
END OF HEADER
6.1 -533945.261344 -3018815.88986
6.1 -533943.586014 -3018800.88818
6.1 -533928.600425 -3018802.48768
6.1 -533927.050564 -3018787.5806
6.1 -533897.026835 -3018790.78868
6.1 -533880.471633 -3018777.36762
6.1 -533863.863879 -3018763.9558
6.1 -533815.630871 -3018738.85341
6.1 -533767.37866 -3018713.63707
6.1 -533689.28272 -3018691.71132
6.1 -533596.150608 -3018671.39078
6.1 -533546.353324 -3018631.26396
6.1 -533468.208989 -3018609.342
6.1 -533419.982061 -3018584.23363
6.1 -533323.616021 -3018533.88287
6.1 -533242.151709 -3018482.06504
6.1 -533177.358381 -3018443.41549
6.1 -533129.136571 -3018418.30279
6.1 -533079.349296 -3018378.169
6.1 -533031.076648 -3018353.06416
6.1 -532981.271615 -3018312.81569
6.1 -532931.487796 -3018272.67974
6.1 -532868.288138 -3018249.1577
6.1 -532820.052 -3018223.9272
6.1 -532771.942029 -3018198.79062
6.1 -532677.183791 -3018163.55428
6.1 -532627.353639 -3018123.42305
6.1 -532547.508709 -3018086.48585
6.1 -532467.823857 -3018049.51877
6.1 -532401.348144 -3017995.97458
6.1 -532273.302714 -3017933.90635
6.1 -532191.924812 -3017882.05319
6.1 -532095.549388 -3017831.67525
6.1 -531969.18453 -3017784.5967
6.1 -531920.98361 -3017759.466
6.1 -531872.836178 -3017734.3253
6.1 -531839.563819 -3017707.61332
6.1 -531807.938342 -3017695.78963
6.1 -531791.345262 -3017682.36746
6.1 -531759.720266 -3017670.54329
6.1 -531713.188848 -3017660.41133
6.1 -531665.064783 -3017635.38076
6.1 -531616.796298 -3017610.14153
6.1 -531570.266513 -3017600.00744
6.1 -531535.41851 -3017558.15872
6.1 -531487.1723 -3017533.03081
6.1 -531392.399524 -3017497.76547
6.1 -531267.725417 -3017465.66081
6.1 -531187.883315 -3017428.81218
6.1 -531091.540303 -3017378.40405
6.1 -530965.180156 -3017331.4079
6.1 -530868.811519 -3017281.11558
6.1 -530787.403162 -3017229.12321
6.1 -530734.236434 -3017158.96885
6.1 -530656.123337 -3017137.09972
6.1 -530607.944275 -3017111.94935
6.1 -530559.766032 -3017086.79826
6.1 -530541.520728 -3017058.36785
6.1 -530491.735796 -3017018.20457
6.1 -530475.099348 -3017004.78507
6.1 -530428.53162 -3016994.64329
6.1 -530396.939896 -3016982.91879
6.1 -530348.712821 -3016957.77384
6.1 -530300.486567 -3016932.62817
6.1 -530237.285946 -3016909.06306
6.1 -530189.166779 -3016883.8972
6.1 -530127.541927 -3016875.46365
6.1 -530079.424332 -3016850.29611
6.1 -530002.858727 -3016843.318
6.1 -529954.637536 -3016818.16705
6.1 -529938.129794 -3016804.83956
6.1 -529891.46254 -3016794.70822
6.1 -529828.374049 -3016771.11638
6.1 -529750.121677 -3016749.25238
6.1 -529687.035504 -3016725.65769
6.1 -529592.26028 -3016690.34763
6.1 -529497.454741 -3016655.1572
6.1 -529405.94361 -3016649.85502
6.1 -529309.572079 -3016599.52498
6.1 -529214.806267 -3016564.2035
6.1 -529151.643668 -3016540.72976
6.1 -529088.462295 -3016517.1415
6.1 -529008.622274 -3016480.24744
6.1 -528960.468714 -3016455.07217
6.1 -528912.263326 -3016429.90541
6.1 -528849.053679 -3016406.43485
6.1 -528800.955362 -3016381.24796
6.1 -528736.074888 -3016342.65964
6.1 -528641.292274 -3016307.44345
6.1 -528546.544912 -3016272.10191
6.1 -528450.168071 -3016221.86846
6.1 -528340.402333 -3016188.10234
6.1 -528229.008483 -3016139.44325
6.1 -528102.753221 -3016092.33257
6.1 -527989.664878 -3016028.67195
6.1 -527893.305805 -3015978.42172
6.1 -527798.526513 -3015943.06695
6.1 -527703.697044 -3015907.71854
6.1 -527655.584155 -3015882.63688
6.1 -527607.346995 -3015857.45967
6.1 -527557.587809 -3015817.37415
6.1 -527525.949356 -3015805.51683
6.1 -527446.149269 -3015768.58363
6.1 -527351.349875 -3015733.33793
6.1 -527256.691035 -3015697.94851
6.1 -527175.165764 -3015646.13771
6.1 -527033.844532 -3015600.69132
6.1 -526909.173658 -3015568.55381
6.1 -526777.947635 -3015476.51436
6.1 -526606.622691 -3015434.30854
6.1 -526521.967365 -3015352.33532
6.1 -526395.585615 -3015305.30651
6.1 -526300.920577 -3015270.01089
